accessionN_SampleN;taxa;lon;lat;n.ind
pi631925_1_;ssp. caerulea;36;39,8;4
pi631926_2_;ssp. caerulea;44,26;46,42;3
pi631948_1;ssp. xvaria;84,633;44,15;5
pi631973_1;ssp. xvaria;81,62;43,1644;5
pi634030_1;ssp. falcata;16,63;49,2;5
pi634034_1;ssp. falcata;43,0105;43,4602;4
pi634106_1_;ssp. falcata;35,855;45,4716;6
pi634119_1_;ssp. caerulea;58,5561;49,2763;4
pi634136_1;ssp. xvaria;56,8755;49,175;8
pi634174_1;ssp. xvaria;58,6855;49,1652;8
pi634176_1;ssp. xvaria;58,5561;49,2763;7
pi641380_1_;ssp. caerulea;36;39,8;7
pi641543_1;ssp. falcata;107,4541;49,8252;9
pi641544_1_;ssp. falcata;107,2819;49,9658;5
pi641601_1;ssp. xvaria;57,0733;48,6794;8
pi641603_1;ssp. xvaria;57,1125;48,9419;6
pi641606_1;ssp. xvaria;56,518;49,5869;8
pi641615_1;ssp. xvaria;56,3575;50,5755;9
pi641619_1;ssp. xvaria;55,83;50,2988;4
sd201_1_;ssp. falcata;69,17;33,71;1
w637068_1;ssp. caerulea;44,5483;40,2005;3
w637069_1;ssp. caerulea;44,6008;40,1827;4
w637074_1;ssp. caerulea;44,8369;39,743;5
